	left	top	right	bottom	Confidence	object
B1	90 	199 	1149 	720 	0.37 	 0.00000e+00]])
B3	357 	142 	890 	707 	0.82 	 0.00000e+00]
	2 	310 	356 	713 	0.37 	 0.00000e+00]
	445 	292 	847 	387 	0.26 	 4.60000e+01]])
b7	17 	3 	1112 	677 	0.64 	 0.00000e+00]])
c1	161 	84 	257 	360 	0.84 	   0.00000]
	422 	67 	469 	191 	0.78 	   0.00000]])
c3	55 	98 	162 	257 	0.72 	 0.00000e+00]
	511 	48 	550 	148 	0.47 	 0.00000e+00]
	27 	131 	178 	340 	0.33 	 0.00000e+00]])
c4	176 	22 	343 	327 	0.43 	 6.70000e+01]
	327 	27 	477 	335 	0.25 	 0.00000e+00]])
c6	715 	81 	1109 	708 	0.95 	 0.00000e+00]
	360 	415 	745 	713 	0.62 	 5.60000e+01]
	746 	380 	782 	415 	0.46 	 3.20000e+01]])
c7	159 	121 	586 	707 	0.89 	   0.00000]])
c8	206 	428 	686 	716 	0.86 	 0.00000e+00]
	254 	234 	448 	323 	0.67 	 2.00000e+00]
	1078 	271 	1280 	709 	0.66 	 0.00000e+00]
	787 	335 	996 	613 	0.38 	 0.00000e+00]
	23 	618 	57 	720 	0.33 	 0.00000e+00]
	563 	311 	614 	358 	0.32 	 4.70000e+01]])
f0	896 	275 	1154 	415 	0.90 	 2.00000e+00]
	782 	263 	839 	284 	0.57 	 2.00000e+00]
	0 	102 	1260 	581 	0.40 	 4.00000e+00]
	693 	29 	721 	85 	0.33 	 9.00000e+00]
	873 	263 	909 	284 	0.27 	 2.00000e+00]])
f1	78 	394 	192 	805 	0.92 	 0.00000e+00]
	261 	316 	381 	814 	0.84 	 0.00000e+00]
	259 	3 	360 	406 	0.51 	 0.00000e+00]])
f277	30 	190 	45 	225 	0.39 	 0.00000e+00]
	213 	164 	280 	213 	0.31 	 7.00000e+00]
	98 	196 	109 	215 	0.27 	 0.00000e+00]])
f282	229 	0 	460 	352 	0.85 	 0.00000e+00]
	258 	209 	307 	237 	0.27 	 6.70000e+01]])
f283	240 	0 	457 	283 	0.66 	   0.00000]])
f286	25 	14 	248 	355 	0.42 	 6.70000e+01]
	570 	142 	640 	260 	0.35 	 6.30000e+01]])
f287	195 	19 	301 	239 	0.81 	   0.00000]])
f288	183 	159 	280 	338 	0.84 	 0.00000e+00]
	52 	112 	119 	224 	0.84 	 0.00000e+00]
	411 	149 	479 	270 	0.78 	 0.00000e+00]
	61 	0 	209 	72 	0.66 	 2.00000e+00]
	46 	208 	131 	256 	0.44 	 3.60000e+01]])
f289	152 	119 	191 	202 	0.80 	   0.00000]
	210 	56 	241 	132 	0.72 	   0.00000]])
f290	400 	52 	459 	218 	0.37 	 0.00000e+00]])
f291	153 	25 	451 	294 	0.43 	 5.40000e+01]])
f292	313 	75 	460 	160 	0.35 	 7.00000e+00]
	406 	70 	440 	108 	0.26 	 1.90000e+01]])
f293	466 	276 	512 	357 	0.89 	 0.00000e+00]
	480 	139 	634 	221 	0.74 	 7.00000e+00]
	473 	201 	488 	241 	0.54 	 0.00000e+00]
	17 	134 	280 	225 	0.50 	 7.00000e+00]
	478 	200 	538 	234 	0.33 	 2.00000e+00]])
f296	127 	87 	203 	220 	0.72 	   0.00000]
	32 	59 	123 	169 	0.67 	   2.00000]
	376 	16 	489 	166 	0.59 	   7.00000]])
f298	164 	145 	297 	273 	0.77 	 7.00000e+00]
	345 	142 	375 	156 	0.44 	 9.00000e+00]
	333 	229 	349 	243 	0.40 	 2.00000e+00]
	73 	219 	173 	263 	0.34 	 7.00000e+00]
	73 	219 	172 	263 	0.34 	 2.00000e+00]])
f299	320 	80 	348 	148 	0.76 	   0.00000]])
f2	159 	384 	390 	745 	0.92 	   0.00000]
	0 	21 	288 	547 	0.87 	   0.00000]])
f301	374 	217 	420 	345 	0.66 	   0.00000]
