left	top	right	bottom	Confidence	object	tleft	ttop	tright	tbottom
tensor([[9.87903e+01	1.91E+02	1.01E+03	7.19E+02	4.76E-01	 0.00000e+00]])				
tensor([[9.69670e+01	1.92E+02	1.01E+03	7.12E+02	3.73E-01	 0.00000e+00]])				
tensor([[6.02528e+01	1.89E+02	1.28E+03	6.38E+02	3.67E-01	 0.00000e+00]])				
tensor([[7.34994e+01	1.95E+02	1.17E+03	7.20E+02	4.18E-01	 0.00000e+00]])				
tensor([[8.09811e+01	1.98E+02	1.16E+03	7.20E+02	3.74E-01	 0.00000e+00]])				
tensor([[8.12164e+01	1.98E+02	1.16E+03	7.17E+02	3.64E-01	 0.00000e+00]])				
tensor([[7.34381e+01	2.00E+02	1.16E+03	7.17E+02	4.52E-01	 0.00000e+00]])				
tensor([[4.71397e+01	1.96E+02	1.19E+03	7.20E+02	4.17E-01	 0.00000e+00]])				
tensor([[1.18718e+02	1.93E+02	1.26E+03	7.20E+02	2.78E-01	 0.00000e+00]])				
tensor([[4.89225e+01	1.97E+02	1.18E+03	7.14E+02	3.15E-01	 0.00000e+00]])				
