	left	top	right	bottom	Confidence	object	tleft	ttop	tright	tbottom
114	tensor([[1.36365e+01	6.72E+00	1.09E+03	6.83E+02	4.50E-01	 0.00000e+00]])				
115	tensor([[3.10492e+00	1.39E+00	1.22E+03	6.86E+02	5.20E-01	 0.00000e+00]])				
116	tensor([[5.54523e+00	3.44E+00	1.20E+03	6.86E+02	5.67E-01	 0.00000e+00]])				
117	tensor([[2.02740e+01	6.56E+00	1.11E+03	6.85E+02	5.95E-01	 0.00000e+00]])				
118	tensor([[1.85887e+01	7.14E+00	1.11E+03	6.82E+02	6.15E-01	 0.00000e+00]])				
119	tensor([[2.02067e+01	5.21E+00	1.11E+03	6.84E+02	6.18E-01	 0.00000e+00]])				
120	tensor([[1.10539e+01	5.04E+00	1.18E+03	6.82E+02	6.15E-01	 0.00000e+00]])				
121	tensor([[1.24828e+01	6.47E+00	1.19E+03	6.85E+02	5.90E-01	 0.00000e+00]])				
122	tensor([[1.10586e+01	5.36E+00	1.18E+03	6.83E+02	5.85E-01	 0.00000e+00]])				
123	tensor([[1.70609e+01	4.33E+00	1.18E+03	6.85E+02	6.06E-01	 0.00000e+00]])				
